# psi logA_t_0 f_t_0 tau_t_0 phi_t_0 logL logPrior
2.194880397408568440e-01 -2.096157495812077798e+01 2.530710106373830399e+02 7.028918055591367765e-03 1.468327083383946796e+00 3.869843067938699824e+04 0.000000000000000000e+00
2.866608673104615868e-01 -2.087793797767259107e+01 2.377987199631096189e+02 9.875537750974393986e-03 1.832597250225699304e+00 3.869843641748664959e+04 0.000000000000000000e+00
1.138773253417307174e+00 -2.068785679258865784e+01 2.336964113121251216e+02 6.192257003255863951e-03 3.197362946169003628e+00 3.869845309128703957e+04 0.000000000000000000e+00
7.549247573782355003e-01 -2.096542201968053831e+01 2.313083993976589170e+02 7.782895726843813179e-03 2.676026920632130768e+00 3.869845834063976508e+04 0.000000000000000000e+00
1.207917360920572669e+00 -2.090633224582806449e+01 2.648556765565031128e+02 7.927680682303466647e-03 2.892472379388780546e+00 3.869845920135024789e+04 0.000000000000000000e+00
8.192897194362525060e-01 -2.051126170697843420e+01 2.577312656682289003e+02 2.667490645527050008e-03 2.789920238135581432e+00 3.869854500401626865e+04 0.000000000000000000e+00
4.362070773066899498e-01 -2.068232439828301850e+01 2.415294044891113288e+02 4.425048407167819428e-03 2.277658306877908156e+00 3.869854806697490858e+04 0.000000000000000000e+00
2.669124769465549996e+00 -2.079703192174372717e+01 2.451829376155513103e+02 3.138134486559401165e-03 6.164635999061321314e+00 3.869855458144330623e+04 0.000000000000000000e+00
1.144958509667203472e+00 -2.110363154883491532e+01 2.503986589184260367e+02 1.372725673533624000e-02 3.135121666382714167e+00 3.869855506310470810e+04 0.000000000000000000e+00
6.907975468564114818e-01 -2.081236300773180403e+01 2.707184673429445070e+02 5.146522224770732137e-03 1.617678612726791920e+00 3.869856380968269514e+04 0.000000000000000000e+00
1.916363569545089129e+00 -2.104926282782302494e+01 2.471469835626162705e+02 1.594435305816899531e-02 4.644066095107769243e+00 3.869856609206954454e+04 0.000000000000000000e+00
2.738463611820511456e+00 -2.099309626669551676e+01 2.413270222550160611e+02 1.262143939600993137e-02 1.359256735512743008e-01 3.869856660545997147e+04 0.000000000000000000e+00
2.874203166283524347e+00 -2.095302852952420380e+01 2.343421192173106533e+02 5.823348021638394961e-03 4.332212916452093387e-01 3.869856775525029661e+04 0.000000000000000000e+00
1.529076111349702893e+00 -2.068527837760381516e+01 2.169633729238102262e+02 3.026278887726163713e-03 4.513002146489465183e+00 3.869861634590077301e+04 0.000000000000000000e+00
1.036626925659988263e+00 -2.079307670623944659e+01 2.403895897402557864e+02 3.627795224882636883e-03 3.344936641800692723e+00 3.869862471713084233e+04 0.000000000000000000e+00
2.804940707436624603e+00 -2.057981634659882175e+01 2.112884277238977688e+02 3.108624799986502759e-03 9.062646953423371121e-01 3.869864043198163563e+04 0.000000000000000000e+00
1.398417216302440869e+00 -2.069250860608728360e+01 2.412220116162343118e+02 6.581729017019622395e-03 3.516386330169967600e+00 3.869867535441327345e+04 0.000000000000000000e+00
2.877111045669494604e+00 -2.084097831543467905e+01 2.402676164894662918e+02 3.659106866033813750e-03 3.211571374819733871e-01 3.869871408252919355e+04 0.000000000000000000e+00
1.159858314326034368e+00 -2.063661575112174873e+01 2.224022019446651655e+02 2.471996814474555684e-03 3.425440422612206159e+00 3.869872816693439381e+04 0.000000000000000000e+00
1.495740946399545690e+00 -2.100146959228584365e+01 2.422348242675834058e+02 7.307475842137779558e-03 3.697573503994759925e+00 3.869872909590638301e+04 0.000000000000000000e+00
8.113269214956759789e-01 -2.061239591621950140e+01 2.178305748063729652e+02 4.111933137589241991e-03 3.132259795593844487e+00 3.869876255509693874e+04 0.000000000000000000e+00
2.524241573646968995e+00 -2.092114170743790424e+01 2.620286155209508365e+02 8.517519328903332826e-03 5.307095421050290085e+00 3.869878899520297273e+04 0.000000000000000000e+00
1.546317898919173262e+00 -2.064084821542987314e+01 2.802002354140659008e+02 3.994233728715245076e-03 3.510698396016689316e+00 3.869880964680358011e+04 0.000000000000000000e+00
1.638776610476832651e+00 -2.078485171379939089e+01 2.420874971750529880e+02 3.109917407907481900e-03 4.289516197847489387e+00 3.869884377027409209e+04 0.000000000000000000e+00
1.454893526611947818e-01 -2.078778991207755311e+01 2.697826403182060062e+02 5.982916898130656233e-03 6.298443187727230663e-01 3.869884552368718141e+04 0.000000000000000000e+00
1.836915350409497605e-01 -2.072121103432321121e+01 2.161045421291494222e+02 4.331169658845571147e-03 1.674176495969668110e+00 3.869884779600409820e+04 0.000000000000000000e+00
1.819498155477583534e+00 -2.080708782957712799e+01 2.692425757635973014e+02 6.005801857314943711e-03 3.946551601509348917e+00 3.869887887346510979e+04 0.000000000000000000e+00
7.268871092393458522e-01 -2.100340875356835468e+01 2.477826395258541083e+02 8.835588324600754384e-03 1.948933583706228712e+00 3.869889701591865014e+04 0.000000000000000000e+00
2.735357485553220780e+00 -2.076733974419233064e+01 2.455558210418666363e+02 8.404748360885238440e-03 6.103539530551358894e+00 3.869889783096000610e+04 0.000000000000000000e+00
2.639418548846998558e+00 -2.037224085039904153e+01 2.202053392645303802e+02 2.155194066470891758e-03 1.333415302320352658e-01 3.869889820933438023e+04 0.000000000000000000e+00
8.886474852033158234e-01 -2.100830806118817051e+01 2.507660032584211933e+02 1.446839863215409853e-02 2.601381092309825060e+00 3.869891340598101669e+04 0.000000000000000000e+00
6.679130230285637015e-01 -2.090821120976061209e+01 2.647331726019951361e+02 6.821987245838173446e-03 1.859303127847856008e+00 3.869892141171599360e+04 0.000000000000000000e+00
1.428091911742935594e+00 -2.091646882091618309e+01 2.607320498894895309e+02 7.430647540492244137e-03 3.096986090530342128e+00 3.869892495016700559e+04 0.000000000000000000e+00
2.743057952496463781e+00 -2.047842111461024217e+01 2.120227706502682281e+02 2.168397764509743565e-03 7.156838732348324017e-01 3.869893123206165910e+04 0.000000000000000000e+00
6.501366043681536810e-01 -2.099771384092529658e+01 2.470902826846192681e+02 1.361104787215565610e-02 1.948652323234502548e+00 3.869893865954010835e+04 0.000000000000000000e+00
1.600262284806798441e+00 -2.078733593871123730e+01 2.402462030063799716e+02 8.552110573838780233e-03 4.017269052221426939e+00 3.869895393538162170e+04 0.000000000000000000e+00
5.425161186595669482e-01 -2.080750350345121191e+01 2.693087593563468545e+02 5.729113323845781876e-03 1.605269886314140360e+00 3.869896456671572378e+04 0.000000000000000000e+00
1.757525077035255290e+00 -2.072658509507590097e+01 2.577928160498660759e+02 4.020358039162234137e-03 3.830378887701957780e+00 3.869896752751953318e+04 0.000000000000000000e+00
1.394276932864604301e+00 -2.098918066346047340e+01 2.568451532545704481e+02 1.196788272014980524e-02 3.463146487965213627e+00 3.869897549342569982e+04 0.000000000000000000e+00
1.905334401453109727e+00 -2.085656091391783562e+01 2.295651000943691145e+02 6.861363033170015877e-03 4.862558600217978366e+00 3.869898570290316275e+04 0.000000000000000000e+00
3.585066047528269184e-01 -2.095207113444550728e+01 2.529227244265531169e+02 5.798007475280687190e-03 1.203600570764560729e+00 3.869899801354757801e+04 0.000000000000000000e+00
2.185237487932128353e+00 -2.083689706371536232e+01 2.650777515245217728e+02 6.316809913183557904e-03 4.602735591397496329e+00 3.869900505332981265e+04 0.000000000000000000e+00
2.266862459109727723e+00 -2.094466877701485785e+01 2.369832813935950924e+02 1.000764631462731924e-02 5.737169841076454446e+00 3.869901186288395547e+04 0.000000000000000000e+00
5.693312936182004513e-01 -2.045918193263254281e+01 2.055593283211797768e+02 2.377752357964859481e-03 2.467833682707428977e+00 3.869901681540736172e+04 0.000000000000000000e+00
6.572356635795033597e-01 -2.094588273077352625e+01 2.368814560919277596e+02 6.849627647724817851e-03 2.621247267922205193e+00 3.869902681093785213e+04 0.000000000000000000e+00
1.926138977519762818e+00 -2.104945968127403688e+01 2.516414064586939219e+02 1.383830575105054854e-02 4.661306622780868381e+00 3.869903173928429896e+04 0.000000000000000000e+00
2.787357583286965701e-01 -2.087057877322888189e+01 2.285025984654285480e+02 5.339077145545161225e-03 1.922953379213350411e+00 3.869903275912883691e+04 0.000000000000000000e+00
2.617048521176168485e+00 -2.095395226235938324e+01 2.359386966799783920e+02 9.802947674650529242e-03 8.868911478790231229e-02 3.869904120770526788e+04 0.000000000000000000e+00
